PlotID,Study,Island,geo_entity2,Plot_Area,year,Lat_Dec,Long_Dec,Elev_m,MAT,MAP,PET,AridInd,SubstrateAge_range,SubstrateAge_code,HFP,HII,Plot_Prop_Invaded,SizeClass,Scientific_name,previousName_synon.,SPP_CODE3A,Native_Status,Abundance,Abundance_ha,Clust_manu,Family,Accepted_name_TNRS2022,Accepted_family_TNRS2022
1,Knight_Barton,O'ahu Island (incl. Mokoli'i Islet),O'ahu Island,1000,NA,21.406344,-157.880206,395.1797791,19.9086895,2973.034912,2961.363037,1.003941386,2400000,3.00E+06,59,38,0.12,5,Acacia koa,,ACAKOA,native,12,120,wet_w,Fabaceae,Acacia koa,Fabaceae
1,Knight_Barton,O'ahu Island (incl. Mokoli'i Islet),O'ahu Island,1000,NA,21.406344,-157.880206,395.1797791,19.9086895,2973.034912,2961.363037,1.003941386,2400000,3.00E+06,59,38,0.12,5,Cordyline fruticosa,,CORFRU,native,3,30,wet_w,Asparagaceae,Cordyline fruticosa,Asparagaceae
1,Knight_Barton,O'ahu Island (incl. Mokoli'i Islet),O'ahu Island,1000,NA,21.406344,-157.880206,395.1797791,19.9086895,2973.034912,2961.363037,1.003941386,2400000,3.00E+06,59,38,0.12,5,Diospyros sandwicensis,,DIOSAN,native,3,30,wet_w,Ebenaceae,Diospyros sandwicensis,Ebenaceae
1,Knight_Barton,O'ahu Island (incl. Mokoli'i Islet),O'ahu Island,1000,NA,21.406344,-157.880206,395.1797791,19.9086895,2973.034912,2961.363037,1.003941386,2400000,3.00E+06,59,38,0.12,5,Metrosideros polymorpha,,METPOL,native,34,340,wet_w,Myrtaceae,Metrosideros polymorpha,Myrtaceae
1,Knight_Barton,O'ahu Island (incl. Mokoli'i Islet),O'ahu Island,1000,NA,21.406344,-157.880206,395.1797791,19.9086895,2973.034912,2961.363037,1.003941386,2400000,3.00E+06,59,38,0.12,5,Nestegis sandwicensis,,NESSAN,native,1,10,wet_w,Oleaceae,Nestegis sandwicensis,Oleaceae
1,Knight_Barton,O'ahu Island (incl. Mokoli'i Islet),O'ahu Island,1000,NA,21.406344,-157.880206,395.1797791,19.9086895,2973.034912,2961.363037,1.003941386,2400000,3.00E+06,59,38,0.12,5,Psidium cattleianum,,PSICAT,alien,6,60,wet_w,Myrtaceae,Psidium cattleyanum,Myrtaceae
1,Knight_Barton,O'ahu Island (incl. Mokoli'i Islet),O'ahu Island,1000,NA,21.406344,-157.880206,395.1797791,19.9086895,2973.034912,2961.363037,1.003941386,2400000,3.00E+06,59,38,0.12,5,Psydrax odorata,,PSYODO,native,14,140,wet_w,Rubiaceae,Psydrax odoratus,Rubiaceae
1,Knight_Barton,O'ahu Island (incl. Mokoli'i Islet),O'ahu Island,1000,NA,21.406344,-157.880206,395.1797791,19.9086895,2973.034912,2961.363037,1.003941386,2400000,3.00E+06,59,38,0.12,5,Styphelia tameiameiae,,STYTAM,native,1,10,wet_w,Ericaceae,Leptecophylla tameiameiae,Ericaceae
1,Knight_Barton,O'ahu Island (incl. Mokoli'i Islet),O'ahu Island,1000,NA,21.406344,-157.880206,395.1797791,19.9086895,2973.034912,2961.363037,1.003941386,2400000,3.00E+06,59,38,0.12,5,Wikstroemia oahuensis,,WIKOAH,native,1,10,wet_w,Thymelaeaceae,Wikstroemia oahuensis,Thymelaeaceae
2,Zimmerman,Hawai'i Island,Hawai'i Island,1017.88,NA,19.443586,-154.910211,129.6577911,22.25222969,2904.545898,2672.541016,1.086810598,575,475,34,22,0.126728111,5,Diospyros sandwicensis,,DIOSAN,native,4,157,wet_b,Ebenaceae,Diospyros sandwicensis,Ebenaceae
2,Zimmerman,Hawai'i Island,Hawai'i Island,1017.88,NA,19.443586,-154.910211,129.6577911,22.25222969,2904.545898,2672.541016,1.086810598,575,475,34,22,0.126728111,5,Metrosideros polymorpha,,METPOL,native,43,776,wet_b,Myrtaceae,Metrosideros polymorpha,Myrtaceae
2,Zimmerman,Hawai'i Island,Hawai'i Island,1017.88,NA,19.443586,-154.910211,129.6577911,22.25222969,2904.545898,2672.541016,1.086810598,575,475,34,22,0.126728111,5,Polyscias hawaiensis,,TETHAW,native,1,10,wet_b,Araliaceae,Polyscias hawaiensis,Araliaceae
2,Zimmerman,Hawai'i Island,Hawai'i Island,1017.88,NA,19.443586,-154.910211,129.6577911,22.25222969,2904.545898,2672.541016,1.086810598,575,475,34,22,0.126728111,5,Psidium cattleianum,,PSICAT,alien,6,236,wet_b,Myrtaceae,Psidium cattleyanum,Myrtaceae
